DATE;WIG20;WHV20(21);WIV20;WIV20(CALL);WIV20(PUT)
2003-09-22;1495.59;0.3318;0.2165;0.2274;0.1979
2003-09-23;1507.61;0.3336;0.2352;0.2362;0.2343
2003-09-24;1511.79;0.3225;0.2368;0.2292;0.2481
2003-09-25;1511.37;0.3223;0.2372;0.2423;0.2358
2003-09-26;1531.16;0.3265;0.24;0.2314;0.2601
2003-09-29;1518.16;0.3071;0.2371;0.2353;0.238
2003-09-30;1477.25;0.2621;0.2351;0.253;0.2283
2003-10-01;1480.11;0.2635;0.2414;0.2383;0.2478
2003-10-02;1508.18;0.2774;0.2483;0.2312;0.2576
2003-10-03;1526.9;0.2745;0.2342;0.2311;0.2367
2003-10-06;1590.41;0.3011;0.2576;0.2374;0.2751
2003-10-07;1582.8;0.3012;0.2631;0;0.2631
2003-10-08;1613.85;0.2945;0.255;0;0.255
2003-10-09;1636.87;0.2783;0.2544;0.2341;0.2853
2003-10-10;1637.47;0.2773;0.2629;0.2634;0.2622
2003-10-13;1626.58;0.2683;0.267;0.2554;0.2779
2003-10-14;1664.08;0.275;0.2537;0.2442;0.2651
2003-10-15;1687.32;0.2626;0.2698;0;0.2698
2003-10-16;1642.94;0.2821;0.2642;0.2632;0.2661
2003-10-17;1621.53;0.2874;0.2581;0.2726;0.249
2003-10-20;1610.19;0.2893;0.2557;0.2591;0.2527
2003-10-21;1568.35;0.2795;0.2684;0.2725;0.2656
2003-10-22;1538.12;0.2886;0.2612;0.2675;0.2465
2003-10-23;1546.55;0.289;0.2701;0.276;0.2576
2003-10-24;1534.19;0.2907;0.2723;0.2755;0.2666
2003-10-27;1512.64;0.2915;0.2772;0.2758;0.2802
2003-10-28;1569.08;0.3172;0.288;0.2868;0.2898
2003-10-29;1559.42;0.3007;0.2896;0.2749;0.3065
2003-10-30;1589.74;0.3063;0.2968;0.2818;0.3136
2003-10-31;1582.01;0.3022;0.3208;0.2891;0.3315
2003-11-03;1588.99;0.3001;0.3033;0.3025;0.3039
2003-11-04;1554.61;0.2749;0.2958;0.2942;0.3006
2003-11-05;1555.9;0.2746;0.2953;0.2975;0.2861
2003-11-06;1579.51;0.2709;0.2913;0.2833;0.3112
2003-11-07;1572.37;0.2653;0.2876;0.2878;0.2875
2003-11-10;1583.4;0.267;0.2837;0.2852;0.2799
2003-11-12;1555.63;0.2724;0.2936;0.2892;0.3053
2003-11-13;1554.16;0.2568;0.3093;0.3003;0.3306
2003-11-14;1557.04;0.2499;0.2978;0.2941;0.307
2003-11-17;1507.36;0.2573;0.2936;0.2946;0.2911
2003-11-18;1486.8;0.2576;0.3049;0.3285;0.2806
2003-11-19;1457.75;0.2632;0.3328;0.3363;0.32
2003-11-20;1415.17;0.2669;0.3171;0.3172;0.3169
2003-11-21;1446.28;0.2767;0.3582;0.3952;0.3096
2003-11-24;1459.29;0.2783;0.3687;0.3902;0.3436
2003-11-25;1428.28;0.2855;0.3504;0.3694;0.3289
2003-11-26;1435.9;0.2842;0.3406;0.3476;0.3151
2003-11-27;1455.43;0.2532;0.3262;0.357;0.2997
2003-11-28;1448.88;0.2531;0.3338;0.3392;0.3218
2003-12-01;1504.8;0.2813;0.3248;0.2946;0.3641
2003-12-02;1507.67;0.2816;0.3041;0.2817;0.3253
2003-12-03;1511.65;0.2811;0.3172;0.3018;0.3241
2003-12-04;1488.07;0.2764;0.2906;0.3015;0.2854
2003-12-05;1484.36;0.2762;0.3104;0.2985;0.3288
2003-12-08;1525.41;0.289;0.3356;0.3456;0.3312
2003-12-09;1545.84;0.2934;0.3171;0.3044;0.3642
2003-12-10;1539.32;0.2922;0.3008;0.2917;0.3162
2003-12-11;1553.62;0.288;0.3104;0.2975;0.3218
2003-12-12;1575.78;0.2922;0.2868;0.2762;0.3434
2003-12-15;1575.33;0.2922;0.304;0.3023;0.3173
2003-12-16;1571.45;0.2665;0.3156;0.318;0.301
2003-12-17;1555.35;0.2642;0.3676;0.3458;0.4242
2003-12-18;1566.47;0.2521;0.2888;0.2784;0.322
2003-12-19;1560.06;0.2233;0.2422;0.2321;0.322
2003-12-22;1562.86;0.2144;0.2636;0.2598;0.2788
2003-12-23;1579.35;0.215;0.2672;0.2604;0.2711
2003-12-29;1577.73;0.1952;0.2471;0.243;0.2802
2003-12-30;1576.27;0.1962;0.244;0.2396;0.2828
2003-12-31;1574.04;0.1943;0.2825;0.2581;0.2967
2004-01-02;1616.79;0.2076;0.2739;0.2652;0.279
2004-01-05;1682.42;0.2115;0.2705;0.2489;0.2941
2004-01-06;1676.27;0.2135;0.287;0.2613;0.2926
2004-01-07;1673.9;0.2146;0.28;0.2455;0.2955
2004-01-08;1667.36;0.2038;0.2994;0.3178;0.2475
2004-01-09;1651.58;0.2087;0.2761;0.2573;0.2956
2004-01-12;1688.32;0.2022;0.2959;0.2708;0.3083
2004-01-13;1694.39;0.1998;0.2839;0.2654;0.2864
2004-01-14;1660.97;0.2154;0.2845;0.2682;0.3103
2004-01-15;1671.59;0.2146;0.2764;0.2675;0.2904
2004-01-16;1658.25;0.2145;0.2868;0.2635;0.3091
2004-01-19;1665.96;0.2144;0.2987;0.2722;0.3393
2004-01-20;1670.4;0.2136;0.294;0.2671;0.3222
2004-01-21;1659.08;0.2111;0.27;0.2509;0.2978
2004-01-22;1679.5;0.2131;0.2871;0.2618;0.3013
2004-01-23;1683.35;0.2114;0.3085;0.2501;0.3111
2004-01-26;1677.41;0.2128;0.3028;0.2831;0.3088
2004-01-27;1673.87;0.212;0.3076;0.2844;0.3106
2004-01-28;1620;0.2455;0.2872;0.2863;0.2887
2004-01-29;1611.05;0.2465;0.278;0.2899;0.2675
2004-01-30;1631.99;0.2498;0.2495;0.235;0.2829
2004-02-02;1653.72;0.2365;0.2758;0.2457;0.2978
2004-02-03;1636.17;0.1922;0.2729;0.271;0.2746
2004-02-04;1639.23;0.1923;0.2747;0.2444;0.2926
2004-02-05;1639.52;0.1923;0.2771;0.2712;0.279
2004-02-06;1654.71;0.1952;0.2786;0.2628;0.288
2004-02-09;1705.96;0.2197;0.2776;0.2511;0.3189
2004-02-10;1734.54;0.214;0.2758;0.256;0.3039
2004-02-11;1725;0.2151;0.2891;0.2691;0.3073
2004-02-12;1737.36;0.202;0.2891;0.266;0.2996
2004-02-13;1728.89;0.2028;0.2759;0.2698;0.2908
2004-02-16;1743.14;0.2009;0.2983;0.2675;0.3162
